,PC1,PC2,PC3,class,name
27,-14966.610903118573,-500.3647772417694,-91.12134331123225,andesite,andesite06T98.jpg
28,-14965.622529986902,-505.4104895955106,-101.88884722666474,andesite,andesite06XZ1.jpg
29,-14964.606422602457,-510.2369922276728,-109.85245438596897,andesite,andesite076CA.jpg
30,-14963.612106864875,-507.1489300466101,-104.93290947844552,andesite,andesite07IND.jpg
31,-14962.652682429163,-504.73408724003104,-83.31314543051897,andesite,andesite083FQ.jpg
32,-14961.61545749617,-506.3850814202522,-103.74577786662336,andesite,andesite0883S.jpg
33,-14960.596453661314,-508.60214756791777,-105.79465040694322,andesite,andesite08FOQ.jpg
34,-14959.612013369117,-508.97211669230245,-108.32498715428973,andesite,andesite08X96.jpg
35,-14958.601902387785,-507.1374285021215,-103.28186389814174,andesite,andesite09ABP.jpg
36,-14957.603671676527,-507.6584973220238,-105.07942301215563,andesite,andesite0A5NL.jpg
37,-14956.592480542115,-509.146704226702,-106.419296751513,andesite,andesite0APW8.jpg
38,-14955.600182439219,-509.26582690807317,-107.46668683904798,andesite,andesite0AQBW.jpg
39,-14954.594853647794,-508.03499236844766,-103.72517197624545,andesite,andesite0BBCL.jpg
40,-14953.60113355445,-508.81113069050286,-107.1545658083962,andesite,andesite0BUG1.jpg
41,-14952.594669815026,-508.0670188370638,-104.07885548993576,andesite,andesite0CAYF.jpg
42,-14951.604036319493,-507.7572485039158,-105.05590039466594,andesite,andesite0CO7D.jpg
43,-14950.614648697492,-506.60448471962263,-103.9303613200864,andesite,andesite0CP5H.jpg
44,-14949.61652075965,-508.2504742705466,-107.58574326364717,andesite,andesite0CTGW.jpg
45,-14948.620436074709,-507.9210443651369,-100.57222260584716,andesite,andesite0DG4N.jpg
46,-14947.615518032624,-508.02905733496664,-106.86689117083623,andesite,andesite0DHSF.jpg
47,-14946.616549837521,-507.4378407668557,-105.79223481169363,andesite,andesite0DJHN.jpg
48,-14945.601056820024,-509.8910504793525,-109.00545557295025,andesite,andesite0DJWM.jpg
49,-14944.603117001956,-508.10907303369174,-105.42211891115339,andesite,andesite0DPF9.jpg
50,-14943.598917715479,-507.40075864923244,-102.46702003400763,andesite,andesite0DUXP.jpg
51,-14942.60412050501,-509.14477692238034,-108.15747754387063,andesite,andesite0EKHX.jpg
52,-14941.610041296897,-507.02731403975486,-103.9913099048009,andesite,andesite0EO3R.jpg
53,-14940.598289055031,-508.7916592533158,-106.54999230320635,andesite,andesite0F0VP.jpg
54,-14939.594276953834,-498.96425766129516,-87.35572525779729,andesite,andesite0FDJG.jpg
55,-14938.596340855911,-507.038118010659,-102.63884933105345,andesite,andesite0FDRJ.jpg
56,-14937.601503213516,-507.9638839395842,-106.03629485280324,andesite,andesite0FGVQ.jpg
57,-14936.602491962933,-505.7337117215957,-101.07832745705976,andesite,andesite0FHUV.jpg
58,-14935.597681346888,-508.33660553072554,-105.07880241411907,andesite,andesite0FNZ8.jpg
59,-14934.605692510058,-505.93082806272844,-101.97560534577653,andesite,andesite0FQPC.jpg
60,-14933.607484323771,-509.2720808272615,-108.77936249686981,andesite,andesite0FVDN.jpg
61,-14932.62263407522,-497.8236749432102,-86.76412964550444,andesite,andesite0FW81.jpg
62,-14931.610545630027,-508.18225018926637,-106.67324473984284,andesite,andesite0G9JT.jpg
63,-14930.59940021615,-507.80784399552823,-104.78136495009045,andesite,andesite0GB4B.jpg
64,-14929.606749803635,-507.60360838875357,-105.47924208816941,andesite,andesite0GI41.jpg
65,-14928.602389281428,-507.6215076604875,-101.25994124812502,andesite,andesite0GPRK.jpg
66,-14927.60456409124,-508.64307831691116,-107.22552525022182,andesite,andesite0IF4E.jpg
67,-14926.597363343062,-505.77255565076274,-99.07889417354238,andesite,andesite0ILM1.jpg
68,-14925.615444973406,-501.0724296813452,-92.82151934115154,andesite,andesite0IU7T.jpg
69,-14924.625419100834,-503.93810559448934,-88.38427551694262,andesite,andesite0IUZE.jpg
70,-14923.604333778454,-507.75432752920983,-102.4988791588203,andesite,andesite0IVX3.jpg
71,-14922.605084345805,-508.7442257938222,-107.58640321844683,andesite,andesite0J628.jpg
72,-14921.60185377582,-509.63673795234746,-108.77294374728784,andesite,andesite0JC0L.jpg
73,-14920.604819260614,-506.06597136694097,-101.88884772089399,andesite,andesite0JDL9.jpg
74,-14919.600662365541,-508.59453820833056,-106.33072452914904,andesite,andesite0JJ0K.jpg
75,-14918.597657153927,-508.53832470090873,-106.27513457058153,andesite,andesite0JLU3.jpg
76,-14917.597992982879,-506.8834806039559,-103.07650288478496,andesite,andesite0JM47.jpg
77,-14916.60240637147,-508.29156277580296,-105.73245669704694,andesite,andesite0K7K7.jpg
78,-14915.617423287478,-503.14673154828245,-100.24591455012498,andesite,andesite0KD1O.jpg
79,-14914.616337922003,-507.283672287624,-105.72947549170958,andesite,andesite0KNW2.jpg
80,-14913.593308903144,-508.5479609023927,-104.68694996051093,andesite,andesite0KQH2.jpg
81,-14912.596419954483,-505.5936724883477,-98.68088632975405,andesite,andesite0KS0V.jpg
82,-14911.605546769326,-508.0817350025781,-106.056632509092,andesite,andesite0KTE2.jpg
83,-14910.60087201924,-507.8043771735373,-104.27575805992532,andesite,andesite0L3KF.jpg
84,-14909.598494447459,-506.71029544672245,-101.83140688439596,andesite,andesite0L488.jpg
85,-14908.609308346695,-507.507604238324,-106.16999852640932,andesite,andesite0L51L.jpg
86,-14907.618408219709,-505.828397632379,-103.58218261710842,andesite,andesite0LC7W.jpg
87,-14906.616689696779,-506.47963917276013,-103.94423420180637,andesite,andesite0LKQP.jpg
88,-14905.6149317327,-506.7681015077486,-104.61677172090455,andesite,andesite0LOF1.jpg
89,-14904.60931561569,-505.2402816553393,-94.4604077292416,andesite,andesite0M1BO.jpg
90,-14903.619437910136,-506.36638177092453,-104.60282774172026,andesite,andesite0M6H4.jpg
91,-14902.598302475679,-506.74930545244376,-100.98912359679184,andesite,andesite0MQVS.jpg
92,-14901.60214584575,-507.9525386794678,-104.62380329967034,andesite,andesite0MRO4.jpg
93,-14900.604088161197,-507.2724304720058,-104.39174513849521,andesite,andesite0MYHH.jpg
94,-14899.619851019937,-506.58001875350146,-104.7621646365217,andesite,andesite0N2DV.jpg
95,-14898.604101911656,-507.4607324404751,-105.2998016957951,andesite,andesite0N3JV.jpg
96,-14897.604512573316,-507.8626613855888,-105.9330602315721,andesite,andesite0N8VN.jpg
97,-14896.596239685789,-508.3135230916782,-105.61719996633468,andesite,andesite0NYLD.jpg
98,-14895.60553165936,-505.9499159946501,-98.19984675955548,andesite,andesite0O0A4.jpg
99,-14894.601990441319,-508.93618467390655,-107.82788570500254,andesite,andesite0OBOQ.jpg
100,-14893.593544094587,-509.12103701553383,-107.89424138284642,andesite,andesite0OF1T.jpg
101,-14892.587989784266,-508.0772737460953,-104.69240581982022,andesite,andesite0OFD9.jpg
102,-14891.600141986115,-508.2234967906144,-106.0429377422511,andesite,andesite0OL01.jpg
103,-14890.604589685172,-507.1823508942766,-104.87022221288896,andesite,andesite0OMT5.jpg
104,-14889.61916077557,-506.49711130989584,-104.77109256445019,andesite,andesite0OUZH.jpg
105,-14888.603160276158,-508.33072652923505,-106.64347093919571,andesite,andesite0P15I.jpg
106,-14887.601844727078,-506.61206030046986,-103.06767496212161,andesite,andesite0PVZK.jpg
107,-14886.62237557689,-505.7448588046019,-103.5707958828013,andesite,andesite0QL96.jpg
108,-14885.597025527864,-505.87480520481756,-99.93805301368863,andesite,andesite0RCWO.jpg
109,-14884.618980411104,-506.8141215909494,-105.23099709848549,andesite,andesite0RHZQ.jpg
110,-14883.603415949927,-506.7032017188241,-103.78493229678396,andesite,andesite0RIDC.jpg
111,-14882.592486069074,-507.6730891848473,-104.97539606711157,andesite,andesite0RLEP.jpg
112,-14881.60095089631,-505.7776176904393,-101.91613049822595,andesite,andesite0S5IG.jpg
113,-14880.597292336755,-506.7082409413129,-102.30994526441594,andesite,andesite0S6XY.jpg
114,-14879.616222357292,-498.993242705178,-89.70315594474734,andesite,andesite0SD5F.jpg
115,-14878.609775679322,-506.96616590711176,-105.06652812693757,andesite,andesite0SV9X.jpg
116,-14877.614850449325,-505.71306616062935,-103.14436869717188,andesite,andesite0T3EK.jpg
117,-14876.597265243528,-508.970463992576,-108.0405696751272,andesite,andesite0TKR6.jpg
118,-14875.609788803838,-507.41578154882626,-105.91723800445,andesite,andesite0TLMK.jpg
119,-14874.607198650096,-507.47120440303564,-106.02076685341453,andesite,andesite0TQ2K.jpg
120,-14873.617824896646,-507.6805225971495,-102.11296629954518,andesite,andesite0TRME.jpg
121,-14872.603015911533,-507.84022067286037,-105.63241344062612,andesite,andesite0TVN7.jpg
122,-14871.589104992938,-507.3734322336988,-104.3533159487204,andesite,andesite0U0LR.jpg
123,-14870.624333314316,-504.95484326007323,-102.86342842910469,andesite,andesite0UCB4.jpg
124,-14869.62131294645,-504.9440388776381,-102.29519220377055,andesite,andesite0UHNC.jpg
125,-14868.604735302637,-506.92653625824613,-104.14778321525087,andesite,andesite0V324.jpg
126,-14867.606201090965,-508.4744017362191,-107.6621180938455,andesite,andesite0V571.jpg
127,-14866.604534012211,-507.48474358048185,-105.15409913727868,andesite,andesite0VT1X.jpg
128,-14865.599765909714,-503.90502909501265,-96.17957496465836,andesite,andesite0VTAJ.jpg
129,-14864.599441163704,-505.0113313196143,-97.2937900386214,andesite,andesite0WJDU.jpg
130,-14863.613429350837,-503.3689695327965,-93.34545763408529,andesite,andesite0WOO1.jpg
131,-14862.612648739323,-508.95098946033823,-109.59850171703539,andesite,andesite0XQI9.jpg
132,-14861.601422926298,-506.21407836283134,-100.56681351678834,andesite,andesite0XREV.jpg
133,-14860.60576761389,-507.5651787663448,-105.01007202352179,andesite,andesite0XXUT.jpg
134,-14859.625906273892,-505.5128562905055,-95.53063279856775,andesite,andesite0YCVK.jpg
135,-14858.60520584342,-507.3461662615597,-105.42734501445489,andesite,andesite0YFIS.jpg
136,-14857.613291672835,-508.17517343595694,-107.99870863759165,andesite,andesite0YHO9.jpg
137,-14856.61339367774,-508.68220696286517,-109.11053182137256,andesite,andesite0YKEH.jpg
138,-14855.604946843441,-507.4524469628498,-105.26004277346401,andesite,andesite0YY64.jpg
139,-14854.607630809802,-508.0541877592317,-107.28767231537064,andesite,andesite0Z2AO.jpg
140,-14853.612925012554,-507.0860512093846,-105.64402439995013,andesite,andesite0Z6PL.jpg
141,-14852.606535843695,-508.4709101769655,-108.61804876127304,andesite,andesite0ZA0B.jpg
142,-14851.623382021357,-505.8790392521173,-104.52608356346335,andesite,andesite0ZAU9.jpg
143,-14850.614822988806,-508.5799686260413,-108.27996274436691,andesite,andesite0ZH5U.jpg
144,-14849.606594240597,-506.49279230424077,-103.86079286798346,andesite,andesite0ZRMI.jpg
145,-14848.610197191067,-504.96122488098996,-101.65052840141075,andesite,andesite0ZXAT.jpg
146,-14847.632645859838,-504.2600175795025,-102.2250213933768,andesite,andesite104PQ.jpg
147,-14846.605793134055,-506.7232910219854,-104.09080431917849,andesite,andesite10DY6.jpg
148,-14845.613047535893,-504.77075492145394,-101.28879570645081,andesite,andesite10NFI.jpg
149,-14844.621603739899,-506.41803397682105,-105.79190741662383,andesite,andesite10TVJ.jpg
150,-14843.62624917472,-505.361676261792,-103.73928730056458,andesite,andesite10UR1.jpg
151,-14842.612933996796,-506.51034034739325,-104.83767115511236,andesite,andesite112TS.jpg
152,-14841.6050042493,-506.14287679911723,-102.63991438936738,andesite,andesite113O7.jpg
153,-14840.624185147764,-506.5674059850114,-106.32595809414518,andesite,andesite11HNG.jpg
154,-14839.60334966251,-506.78094533795127,-104.45103271919041,andesite,andesite11MUA.jpg
155,-14838.60133578711,-506.9295721518963,-104.0006915494015,andesite,andesite11Y9X.jpg
156,-14837.616260254204,-506.52809557779904,-105.42847188408213,andesite,andesite121RN.jpg
157,-14836.605234861534,-508.7207849245091,-108.55791951249711,andesite,andesite130DL.jpg
158,-14835.604129880543,-506.6671414363914,-104.4462211220752,andesite,andesite130J0.jpg
159,-14834.614527371048,-506.81331875650966,-105.63506354127152,andesite,andesite132SU.jpg
160,-14833.620401230932,-504.6156629607815,-102.50598445212206,andesite,andesite134TH.jpg
161,-14832.621904994965,-504.9594633983781,-102.74698046368584,andesite,andesite13MRR.jpg
162,-14831.627325279826,-502.57137758882357,-100.04264970582872,andesite,andesite146UP.jpg
163,-14830.61606778873,-505.74965973982984,-103.7517290848924,andesite,andesite14UAT.jpg
164,-14829.612099226035,-505.28260534421815,-96.78929989322405,andesite,andesite163NE.jpg
165,-14828.636459574922,-502.03381273368115,-99.15910953106538,andesite,andesite166ZH.jpg
166,-14827.602250658512,-506.03369988543943,-102.06228836557466,andesite,andesite167DV.jpg
167,-14826.60967021331,-508.2889097881688,-108.09607629833427,andesite,andesite16Z1C.jpg
168,-14825.617573508076,-504.613232015079,-102.13786582496536,andesite,andesite17J3P.jpg
169,-14824.625611297384,-505.2475108997438,-103.5252978349763,andesite,andesite17P5L.jpg
170,-14823.609014466245,-505.53208088332985,-102.453714183851,andesite,andesite17WRQ.jpg
171,-14822.624146633269,-502.20381102391895,-91.87553351466661,andesite,andesite180ZP.jpg
172,-14821.604281190435,-505.2166373345171,-100.56777196623254,andesite,andesite189YZ.jpg
173,-14820.635766561354,-504.6947117309986,-93.01833042382137,andesite,andesite18AEK.jpg
174,-14819.61134992638,-505.9675159093857,-103.68762364662783,andesite,andesite18CY5.jpg
175,-14818.613548798643,-506.6698443301212,-105.38823661875045,andesite,andesite18EA0.jpg
176,-14817.611711111647,-507.2133580935184,-106.3573066742801,andesite,andesite18EMD.jpg
177,-14816.610072304358,-507.4936817195895,-106.65147193257434,andesite,andesite18GCE.jpg
178,-14815.600770746265,-507.4646082984796,-106.27307370405208,andesite,andesite18HPL.jpg
179,-14814.620159255943,-504.7355426240437,-102.77663603224177,andesite,andesite18K0I.jpg
180,-14813.60983749419,-507.31418622380477,-106.42752775962707,andesite,andesite18LUB.jpg
181,-14812.609780934921,-506.666564478188,-105.03965252123635,andesite,andesite18LZ9.jpg
182,-14811.609957917613,-505.4593267551674,-102.62789326240286,andesite,andesite18M7W.jpg
183,-14810.616717929675,-507.3961043019533,-107.44232257124072,andesite,andesite191QC.jpg
184,-14809.62650024298,-506.0701626718868,-99.33844625919183,andesite,andesite19313.jpg
185,-14808.624721055632,-506.4542870394599,-106.3892418190123,andesite,andesite19KYQ.jpg
186,-14807.61981537927,-508.1039124799986,-108.68606843477468,andesite,andesite1A8A0.jpg
187,-14806.604918535497,-506.2523087609946,-103.47370074428976,andesite,andesite1A9NT.jpg
188,-14805.627265894298,-506.2326757906132,-106.4415909144396,andesite,andesite1ATXZ.jpg
189,-14804.626456191127,-504.28350879280316,-93.33447492817085,andesite,andesite1B0KW.jpg
190,-14803.622503113835,-505.8171505299229,-105.33170570279893,andesite,andesite1BSQD.jpg
191,-14802.611640609111,-506.08521046401927,-104.25531190558578,andesite,andesite1BWPU.jpg
192,-14801.607316803078,-504.64891337635277,-99.28247443800606,andesite,andesite1C1ER.jpg
193,-14800.606017953904,-506.44584497982146,-104.34450220529294,andesite,andesite1C778.jpg
194,-14799.611423734315,-506.15175217530094,-104.34148723469987,andesite,andesite1CC0L.jpg
195,-14798.596669860324,-507.17431586122046,-105.42210231035764,andesite,andesite1CJKG.jpg
196,-14797.612510336714,-506.52131935392913,-105.66024885046178,andesite,andesite1CQSI.jpg
197,-14796.631026100447,-505.3304306138107,-105.03217180712849,andesite,andesite1CT4D.jpg
198,-14795.618732295936,-507.42854751025834,-108.36676454259364,andesite,andesite1D6MF.jpg
199,-14794.607937289726,-504.7878224177679,-101.44482916762597,andesite,andesite1E5BE.jpg
200,-14793.618133867289,-503.6510813570872,-100.48581078366696,andesite,andesite1EAPQ.jpg
201,-14792.60506353384,-507.36531883788626,-106.79157069834095,andesite,andesite1ERC1.jpg
202,-14791.591518837722,-507.18627887060586,-104.67045381528686,andesite,andesite1EVOU.jpg
203,-14790.609623472019,-496.91208629385346,-85.47632701474251,andesite,andesite1F41Q.jpg
204,-14789.619640559213,-506.1055362401859,-105.0073503890937,andesite,andesite1F95Z.jpg
205,-14788.609859184256,-505.9541789770381,-103.42239954760282,andesite,andesite1FFG4.jpg
206,-14787.623921675484,-506.1949924115693,-106.30502752002661,andesite,andesite1FOZX.jpg
207,-14786.613574801237,-507.1990151589299,-106.94541498185798,andesite,andesite1FZZ0.jpg
208,-14785.61520952124,-503.8093650223836,-99.63395914209397,andesite,andesite1GE3A.jpg
209,-14784.61304627471,-506.22983796878617,-105.09232267176586,andesite,andesite1GYJ8.jpg
210,-14783.610808535625,-506.2387973461951,-104.69525765663795,andesite,andesite1H9U0.jpg
211,-14782.609196464213,-504.71463646302715,-101.34564358661815,andesite,andesite1HI47.jpg
212,-14781.611863712496,-505.9628403033752,-103.9841305689982,andesite,andesite1I1LJ.jpg
213,-14780.613528752632,-504.88451004867335,-103.41032778235444,andesite,andesite1I5G3.jpg
214,-14779.627195063913,-503.5112651103558,-90.66790312338294,andesite,andesite1INKZ.jpg
215,-14778.620041920673,-508.12921529511664,-109.54521625573081,andesite,andesite1IP99.jpg
216,-14777.629093365455,-504.4257665481553,-103.70734755144079,andesite,andesite1IWCM.jpg
217,-14776.60879912034,-505.6557403277213,-102.06757092831499,andesite,andesite1JDQC.jpg
218,-14775.638395032185,-502.20150941903034,-102.45856328359324,andesite,andesite1JE7R.jpg
219,-14774.608705751347,-507.7385389301349,-107.04540847256631,andesite,andesite1JO4M.jpg
220,-14773.612724466031,-503.79212240328087,-100.31350143054277,andesite,andesite1JOIO.jpg
221,-14772.627751318161,-504.7976049042249,-104.06304562320659,andesite,andesite1KERQ.jpg
222,-14771.615143732086,-505.73598104480095,-104.19775941193028,andesite,andesite1KGS3.jpg
223,-14770.608656072542,-506.32667306561194,-103.84570070110809,andesite,andesite1KHUQ.jpg
224,-14769.630370744493,-503.5211093152045,-91.33747128311197,andesite,andesite1KX2B.jpg
225,-14768.622324102269,-505.9476314300284,-105.25697364144865,andesite,andesite1LGKB.jpg
226,-14767.630832529518,-506.0610073821669,-106.82940621063925,andesite,andesite1MGDU.jpg
227,-14766.61401640333,-504.25952260708686,-101.51590994988307,andesite,andesite1MRP0.jpg
228,-14765.616093138415,-506.8353536079065,-106.56810724703838,andesite,andesite1MY8Y.jpg
229,-14764.614351777214,-506.3592629023545,-105.41514728143669,andesite,andesite1N1GZ.jpg
230,-14763.626789102513,-504.08230721288555,-102.26634761170995,andesite,andesite1N3PA.jpg
231,-14762.611539350251,-505.39883618371556,-102.84342573235884,andesite,andesite1NM04.jpg
232,-14761.602963010047,-506.540554319726,-105.0862892295056,andesite,andesite1NM1I.jpg
233,-14760.613059630497,-505.84343162979775,-104.19851643609097,andesite,andesite1NRCK.jpg
234,-14759.610130085022,-504.44601898628,-101.28142459769344,andesite,andesite1NZQH.jpg
235,-14758.61122600996,-505.74820490074165,-103.98419340801215,andesite,andesite1OBGW.jpg
236,-14757.629717358712,-504.5733406328137,-103.79173857942847,andesite,andesite1ONZI.jpg
237,-14756.622317565436,-504.7619398839711,-103.72248934338423,andesite,andesite1P0YB.jpg
238,-14755.6139717969,-505.91967230101363,-104.63470478768151,andesite,andesite1P8TW.jpg
239,-14754.60938852148,-506.4296671278358,-105.69490163614113,andesite,andesite1PNDU.jpg
240,-14753.611567655265,-505.2098641748083,-103.26494955134814,andesite,andesite1Q38F.jpg
241,-14752.615581632572,-503.6240619581047,-100.58299088712594,andesite,andesite1Q8QB.jpg
242,-14751.626843610393,-505.993800669562,-106.39531690424782,andesite,andesite1QH4X.jpg
243,-14750.604914268857,-497.90593688228284,-89.3077885056615,andesite,andesite1QZ67.jpg
244,-14749.614363239541,-505.0109233036005,-103.29997518595675,andesite,andesite1R8KB.jpg
245,-14748.628828815721,-504.20459176368354,-102.89561005176697,andesite,andesite1RCKD.jpg
246,-14747.631444991304,-505.37717838535576,-106.14655538117778,andesite,andesite1RJ9W.jpg
247,-14746.612297185446,-504.4205285383576,-101.53586857230894,andesite,andesite1RSUM.jpg
248,-14745.625971133495,-504.872209482897,-104.10632489351487,andesite,andesite1S8BQ.jpg
249,-14744.629346712729,-504.41950889833885,-103.73162145619503,andesite,andesite1SCWY.jpg
250,-14743.612238149894,-503.53941238841486,-99.20071947593513,andesite,andesite1SFRE.jpg
251,-14742.617459317202,-504.3298990537995,-102.33147620630795,andesite,andesite1SGRW.jpg
252,-14741.617051479841,-505.5442609310703,-104.49153766248232,andesite,andesite1SIZL.jpg
253,-14740.613795429615,-504.05407825301205,-101.1759900707519,andesite,andesite1SPCS.jpg
254,-14739.609643583895,-501.8665234357539,-95.38319731422173,andesite,andesite1T6J6.jpg
255,-14738.627843291979,-506.4330070203401,-107.74406620062958,andesite,andesite1T895.jpg
256,-14737.62598524917,-504.5856743495029,-104.15864952890644,andesite,andesite1TGXG.jpg
257,-14736.612784340052,-504.31618214727615,-100.48449434815032,andesite,andesite1TMTT.jpg
258,-14735.625476379802,-505.3135831063799,-104.15612622623178,andesite,andesite1U0CR.jpg
259,-14734.63627447351,-503.16125736626157,-101.81920638121969,andesite,andesite1U3SJ.jpg
260,-14733.620719963537,-503.8572684573267,-96.77744176925822,andesite,andesite1UHU2.jpg
261,-14732.612855962463,-505.8216221669813,-104.10954082105013,andesite,andesite1UUCM.jpg
262,-14731.609315372558,-506.2434507875277,-105.01111558473833,andesite,andesite1VB7A.jpg
263,-14730.607662200728,-504.9607380783078,-102.33935039829512,andesite,andesite1VLMT.jpg
264,-14729.633375797212,-497.41942750387915,-90.13508838457467,andesite,andesite1VZU5.jpg
265,-14728.644238878014,-502.6461115827653,-102.46395575714976,andesite,andesite1W32X.jpg
266,-14727.616609477822,-504.89692230919036,-102.85697193526252,andesite,andesite1W93C.jpg
267,-14726.611231758086,-504.77763860074475,-101.19101924989377,andesite,andesite1WOEB.jpg
268,-14725.617002444144,-506.09225501183005,-105.84917903370572,andesite,andesite1X0OH.jpg
269,-14724.6095229838,-503.5006919431713,-98.4567000683419,andesite,andesite1X2X6.jpg
270,-14723.619478007222,-504.1372652833222,-102.43944372898864,andesite,andesite1XQ3K.jpg
271,-14722.627105389956,-504.6549903435143,-104.13346892808035,andesite,andesite1XUO4.jpg
272,-14721.613067160759,-504.58961007611356,-100.88736636765377,andesite,andesite1XWO2.jpg
273,-14720.620671926896,-506.87279299539756,-107.92778596422562,andesite,andesite1Y1SB.jpg
274,-14719.605834098356,-506.2021781347867,-105.28330601732745,andesite,andesite1YILJ.jpg
275,-14718.619692234066,-505.0422288749295,-103.9668771114471,andesite,andesite1Z7UU.jpg
276,-14717.613751197408,-504.8291168748614,-102.62635551683282,andesite,andesite1ZE35.jpg
277,-14716.622026087503,-504.899292363273,-103.72034966184887,andesite,andesite1ZEBJ.jpg
278,-14715.6174059108,-505.6716579629746,-104.9832575743764,andesite,andesite1ZGSA.jpg
279,-14714.61540310839,-504.5103598797179,-102.96190182996618,andesite,andesite1ZJ0G.jpg
280,-14713.618070112736,-505.20947539984076,-104.17993063440217,andesite,andesite1ZJVX.jpg
281,-14712.625844144846,-506.71075204402416,-105.24784603949969,andesite,andesite1ZWUQ.jpg
282,-14711.620887117731,-501.2872786524932,-91.37016237827183,andesite,andesite1ZXQD.jpg
283,-14710.61615675162,-505.0039042522582,-103.8056538345833,andesite,andesite20IH9.jpg
284,-14709.6140801466,-503.8324259300824,-99.94495672120026,andesite,andesite20WXP.jpg
285,-14708.618040478685,-503.7038512971781,-101.10785857695413,andesite,andesite20XR8.jpg
286,-14707.620059356026,-504.42009482711296,-103.07159715480506,andesite,andesite21A6H.jpg
287,-14706.614115492883,-505.09318684908834,-102.61004113095052,andesite,andesite21KWQ.jpg
288,-14705.617419354972,-505.8360446321597,-105.15063110044777,andesite,andesite22PUP.jpg
289,-14704.617322296785,-506.1981048226792,-106.29523565815127,andesite,andesite235VL.jpg
290,-14703.617439933632,-504.94824494842817,-103.82479803217863,andesite,andesite23UHV.jpg
291,-14702.626147395691,-505.45705255819,-102.06002052758686,andesite,andesite23WXH.jpg
292,-14701.63325436929,-504.10716775105755,-103.73393822803018,andesite,andesite2439A.jpg
293,-14700.632835527535,-506.2345381788791,-109.12865534160694,andesite,andesite244AP.jpg
294,-14699.609169759835,-505.934859347479,-105.18347796394896,andesite,andesite244M8.jpg
295,-14698.63144671307,-505.79293678533196,-107.85271601364151,andesite,andesite2452V.jpg
296,-14697.624930550102,-504.3193381518379,-103.69793985318643,andesite,andesite24ZEM.jpg
297,-14696.614613340358,-503.68510046302146,-101.09483474461102,andesite,andesite25SAM.jpg
298,-14695.622868887049,-502.7564829154776,-100.4112334619616,andesite,andesite25WOW.jpg
299,-14694.640807434518,-503.19758434518343,-103.30449085268934,andesite,andesite26DF7.jpg
300,-14693.62661172985,-505.16101309753583,-105.2717787218378,andesite,andesite26E2D.jpg
301,-14692.638676107623,-503.53572557427464,-103.38806584060092,andesite,andesite26K4C.jpg
302,-14691.621973041767,-507.76828271657956,-109.67260146255502,andesite,andesite26PN1.jpg
303,-14690.642497694345,-502.9241045212513,-90.8850866252398,andesite,andesite27JGE.jpg
304,-14689.627629246033,-503.9612146221357,-98.27519374975125,andesite,andesite27R5J.jpg
305,-14688.615065053262,-504.5255607003569,-102.88708198698048,andesite,andesite28E2E.jpg
